"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13","test_a_valid_file_exits_zero","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DCLITest","pex25d_cli_test","",""
"","6","test_a_wrap_never_splits_a_coordinate_pair","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DWriterTest","writer_test","",""
"","23","test_invalid_pdk_from_env","Unit Tests","2026-09-22","passed","2026-09-22","Test","env_test","",""
"","0","test_summarize_sidewall","Unit Tests","2026-09-22","passed","2026-09-22","CellExtractionResultsTest","extraction_results_test","",""
"","3","test_conformal_thicknesses_are_carried_in_grid_units","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DResolverTest","resolver_test","",""
"","1","test_render_enum_help__nodefault__intenum","Unit Tests","2026-09-22","passed","2026-09-22","Test","argparse_helpers_test","",""
"","0","test_klayout_region","Unit Tests","2026-09-22","passed","2026-09-22","ShapesConverterTest","shapes_pb2_converter_test","",""
"","368","test_sidewall_100um_x_100um_distance_200nm_li1","kpex/2.5D Extraction Tests","2026-09-22","passed","2026-09-22","","rcx25_test","",""
"","3","test_e0202_a_dielectric_declared_twice","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DResolverTest","resolver_test","",""
"","382","test_sideoverlap_simple_plates_li1_m1","kpex/2.5D Extraction Tests","2026-09-22","passed","2026-09-22","","rcx25_test","",""
"","0","test_the_kind_of_a_message_follows_its_descriptor","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DApiTest","api_test","",""
"","0","test_render_enum_help__default__strenum__lowercased","Unit Tests","2026-09-22","passed","2026-09-22","Test","argparse_helpers_test","",""
"","1","test_summarize_sideoverlap","Unit Tests","2026-09-22","passed","2026-09-22","CellExtractionResultsTest","extraction_results_test","",""
"","2","test_two_conductors_may_abut","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DValidatorTest","validator_test","",""
"","2","test_a_value_a_modulo_check_would_reject","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DReaderTest","reader_test","",""
"","3","test_a_polygon_ring_is_not_closed_explicitly","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DReaderTest","reader_test","",""
"","3","test_e0212_connects_endpoints_out_of_order","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DResolverTest","resolver_test","",""
"","3","test_a_dielectric_shares_the_profile_namespace_with_the_metals","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DResolverTest","resolver_test","",""
"","2","test_e0211_metal_with_inverted_z","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DResolverTest","resolver_test","",""
"","2","test_e0104_bad_literal","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DReaderTest","reader_test","",""
